?value	?property	?lang	?langVar
"CCe"	"rootClass"	"akkadian"	"OB"
"CCh"	"rootClass"	"hebrew"	
"CCi"	"rootClass"	"akkadian"	"OB"
"CCu"	"rootClass"	"akkadian"	"OB"
"CCw"	"rootClass"	"akkadian"	"OB"
"CCy"	"rootClass"	"hebrew"	
"CHC"	"rootClass"	"beja"	"beniamer"
"CHiy"	"rootClass"	"beja"	"atmaan"
"CV1"	"stemClass"	"coptic"	"sahidic"
"CV2"	"stemClass"	"coptic"	"sahidic"
"CV3"	"stemClass"	"coptic"	"sahidic"
"CV4"	"stemClass"	"coptic"	"sahidic"
"CVC"	"rootClass"	"beja"	"arteiga"
"CVC"	"stemShape"	"tsamakko"	
"CVC-VC"	"stemShape"	"tsamakko"	
"CVC1"	"stemClass"	"coptic"	"sahidic"
"CVC2"	"stemClass"	"coptic"	"sahidic"
"CVC3Irreg"	"stemClass"	"coptic"	"sahidic"
"CVCC"	"stemClass"	"coptic"	"sahidic"
"CVCReg"	"stemClass"	"coptic"	"sahidic"
"CVCVC"	"stemShape"	"tsamakko"	
"CVReg"	"stemClass"	"coptic"	"sahidic"
"CVVC"	"stemShape"	"tsamakko"	
"CWC"	"rootClass"	"geez"	
"CYC"	"rootClass"	"geez"	
"CaC"	"rootClass"	"akkadian"	"OB"
"CaC"	"rootClass"	"beja"	"atmaan"
"CaC"	"rootClass"	"beja"	"beniamer"
"Cay"	"rootClass"	"beja"	"atmaan"
"CeC"	"rootClass"	"akkadian"	"OB"
"CeC"	"rootClass"	"beja"	"beniamer"
"ChC"	"rootClass"	"hebrew"	
"CiC"	"rootClass"	"akkadian"	"OB"
"CiC"	"rootClass"	"beja"	"atmaan"
"CiC-"	"stemPattern"	"beja"	"atmaan"
"CiCH"	"rootClass"	"beja"	"atmaan"
"CiCaC"	"rootClass"	"beja"	"atmaan"
"CiCiC"	"rootClass"	"beja"	"atmaan"
"CiCiC-"	"stemPattern"	"beja"	"atmaan"
"CiCiy"	"rootClass"	"beja"	"atmaan"
"CiCiy-"	"stemPattern"	"beja"	"atmaan"
"Ciy"	"rootClass"	"beja"	"atmaan"
"CuC"	"rootClass"	"akkadian"	"OB"
"CwC"	"rootClass"	"hebrew"	
"CyC"	"rootClass"	"hebrew"	
"CāC"	"rootClass"	"akkadian"	"OB"
"CēC"	"rootClass"	"akkadian"	"OB"
"CīC"	"rootClass"	"akkadian"	"OB"
"CūC"	"rootClass"	"akkadian"	"OB"
"D"	"dervStem"	"akkadian"	"OB"
"D"	"dervStem"	"hebrew"	
"D"	"stemClass"	"geez"	
"D-polel"	"dervStem"	"hebrew"	
"Dt"	"dervStem"	"akkadian"	"OB"
"Dtn"	"dervStem"	"akkadian"	"OB"
"Du"	"dervStem"	"hebrew"	
"HaCiC"	"rootClass"	"beja"	"atmaan"
"HaCiC-"	"stemPattern"	"beja"	"atmaan"
"HamzInitVFin"	"stemClass"	"beja"	"atmaan"
"L"	"stemClass"	"geez"	
"M"	"dervStem"	"arbore"	
"M"	"dervStem"	"beja"	"arteiga"
"M"	"dervStem"	"beja"	"beniamer"
"M"	"dervStem"	"beja"	"bishari"
"M"	"dervStem"	"beja"	"hadendowa"
"M"	"dervStem"	"bilin"	
"M"	"dervStem"	"kemant"	
"M"	"dervStem"	"oromo"	
"M"	"dervStem"	"saho"	
"M-Freq"	"dervStem"	"bilin"	
"M1"	"dervStem"	"beja"	"beniamer"
"M2"	"dervStem"	"beja"	"beniamer"
"MS1"	"dervStem"	"beja"	"beniamer"
"MS2"	"dervStem"	"beja"	"beniamer"
"N"	"dervStem"	"akkadian"	"OB"
"N"	"dervStem"	"hebrew"	
"Ntn"	"dervStem"	"akkadian"	"OB"
"OB"	"langVar"	"akkadian"	"OB"
"Polal"	"dervStem"	"hebrew"	
"Polel"	"dervStem"	"hebrew"	
"Q"	"mood"	"iraqw"	
"Q"	"pdgmType"	"beja"	"atmaan"
"Q"	"verbMorphClass"	"beja"	"atmaan"
"R"	"dervStem"	"beja"	"arteiga"
"S"	"dervStem"	"akkadian"	"OB"
"S"	"dervStem"	"beja"	"arteiga"
"S"	"dervStem"	"beja"	"beniamer"
"S"	"dervStem"	"beja"	"bishari"
"S"	"dervStem"	"beja"	"hadendowa"
"S"	"dervStem"	"bilin"	
"S"	"dervStem"	"dhaasanac"	
"S"	"dervStem"	"geez"	
"S"	"dervStem"	"hebrew"	
"S"	"dervStem"	"kemant"	
"S"	"dervStem"	"oromo"	
"S"	"dervStem"	"rendille"	
"S-Intens"	"dervStem"	"dhaasanac"	
"S-Recip"	"dervStem"	"bilin"	
"S1"	"dervStem"	"arbore"	
"S1"	"dervStem"	"beja"	"beniamer"
"S1"	"dervStem"	"saho"	
"S1-Intens"	"dervStem"	"saho"	
"S1T"	"dervStem"	"saho"	
"S2"	"dervStem"	"arbore"	
"S2"	"dervStem"	"beja"	"arteiga"
"S2"	"dervStem"	"beja"	"beniamer"
"S2"	"dervStem"	"bilin"	
"S2"	"dervStem"	"dhaasanac"	
"S2"	"dervStem"	"saho"	
"S2t"	"dervStem"	"hebrew"	
"SM"	"dervStem"	"beja"	"arteiga"
"SM"	"dervStem"	"beja"	"beniamer"
"SM"	"dervStem"	"beja"	"bishari"
"St"	"dervStem"	"akkadian"	"OB"
"St"	"dervStem"	"geez"	
"St"	"dervStem"	"hebrew"	
"Stn"	"dervStem"	"akkadian"	"OB"
"Su"	"dervStem"	"hebrew"	
"T"	"dervStem"	"beja"	"arteiga"
"T"	"dervStem"	"dhaasanac"	
"T"	"dervStem"	"geez"	
"T"	"dervStem"	"oromo"	
"T"	"dervStem"	"rendille"	
"T"	"dervStem"	"saho"	
"T"	"prefixGroup"	"arbore"	
"T-Intens"	"dervStem"	"saho"	
"T1"	"dervStem"	"arbore"	
"T2"	"dervStem"	"arbore"	
"T2"	"dervStem"	"dhaasanac"	
"T3"	"dervStem"	"arbore"	
"T4"	"dervStem"	"arbore"	
"Term"	"ns#type"	"afar"	
"Term"	"ns#type"	"akkadian"	"OB"
"Term"	"ns#type"	"alaaba"	
"Term"	"ns#type"	"arabic"	
"Term"	"ns#type"	"arbore"	
"Term"	"ns#type"	"awngi"	
"Term"	"ns#type"	"bayso"	
"Term"	"ns#type"	"beja"	"amarʔar"
"Term"	"ns#type"	"beja"	"arteiga"
"Term"	"ns#type"	"beja"	"atmaan"
"Term"	"ns#type"	"beja"	"beniamer"
"Term"	"ns#type"	"beja"	"bishari"
"Term"	"ns#type"	"beja"	"hadendowa"
"Term"	"ns#type"	"bilin"	
"Term"	"ns#type"	"boni"	
"Term"	"ns#type"	"boni"	"jara"
"Term"	"ns#type"	"boni"	"kilii"
"Term"	"ns#type"	"burji"	
"Term"	"ns#type"	"coptic"	"sahidic"
"Term"	"ns#type"	"dahalo"	
"Term"	"ns#type"	"dhaasanac"	
"Term"	"ns#type"	"dhaasanac"	"standard"
"Term"	"ns#type"	"egyptian"	"middle"
"Term"	"ns#type"	"elmolo"	
"Term"	"ns#type"	"gawwada"	
"Term"	"ns#type"	"gedeo"	
"Term"	"ns#type"	"geez"	
"Term"	"ns#type"	"hadiyya"	
"Term"	"ns#type"	"hebrew"	
"Term"	"ns#type"	"iraqw"	
"Term"	"ns#type"	"kambaata"	
"Term"	"ns#type"	"kemant"	
"Term"	"ns#type"	"khamtanga"	
"Term"	"ns#type"	"koorete"	
"Term"	"ns#type"	"maale"	
"Term"	"ns#type"	"oromo"	
"Term"	"ns#type"	"rendille"	
"Term"	"ns#type"	"saho"	
"Term"	"ns#type"	"shinassha"	
"Term"	"ns#type"	"sidaama"	
"Term"	"ns#type"	"somali"	"standard"
"Term"	"ns#type"	"syriac"	
"Term"	"ns#type"	"tsamakko"	
"Term"	"ns#type"	"wolaytta"	
"Term"	"ns#type"	"yaaku"	
"Term"	"ns#type"	"yemsa"	
"V"	"rootClass"	"beja"	"bishari"
"V-non-a"	"final"	"elmolo"	
"V2"	"rootClass"	"beja"	"bishari"
"VH-Participle"	"tam"	"afar"	
"VHPart"	"tamToken"	"afar"	
"Vdpth"	"rootClass"	"beja"	"bishari"
"WCC"	"rootClass"	"geez"	
"Y"	"prefixGroup"	"arbore"	
"a"	"ablautClass"	"hebrew"	
"a"	"final"	"elmolo"	
"a-a"	"ablautClass"	"hebrew"	
"a-deletion"	"pluralClass"	"khamtanga"	
"a-e"	"ablautClass"	"hebrew"	
"a-iClass"	"ablautClass"	"akkadian"	"OB"
"a-o"	"ablautClass"	"hebrew"	
"a-subordinate"	"tam"	"kemant"	
"a-uClass"	"ablautClass"	"akkadian"	"OB"
"aCC"	"rootClass"	"akkadian"	"OB"
"aClass"	"ablautClass"	"akkadian"	"OB"
"aClass"	"defMarker"	"tsamakko"	
"aa-stem"	"stemClass"	"arbore"	
"ablative"	"case"	"alaaba"	
"ablative"	"case"	"koorete"	
"ablative"	"case"	"maale"	
"ablative"	"case"	"shinassha"	
"ablative"	"case"	"wolaytta"	
"ablative"	"case"	"yemsa"	
"ablative"	"cliticClass"	"boni"	"jara"
"ablative"	"cliticClass"	"boni"	"kilii"
"ablative"	"dervCat"	"elmolo"	
"ablative"	"postposition"	"beja"	"arteiga"
"aboveSpeaker"	"deixis"	"koorete"	
"abs"	"type"	"burji"	
"absPoss"	"proClass"	"alaaba"	
"absolute"	"infinitiveForm"	"coptic"	"sahidic"
"absoluteInfinitive"	"formClass"	"coptic"	"sahidic"
"absolutive"	"case"	"afar"	
"absolutive"	"case"	"alaaba"	
"absolutive"	"case"	"arbore"	
"absolutive"	"case"	"bilin"	
"absolutive"	"case"	"burji"	
"absolutive"	"case"	"dhaasanac"	
"absolutive"	"case"	"gedeo"	
"absolutive"	"case"	"khamtanga"	
"absolutive"	"case"	"koorete"	
"absolutive"	"case"	"maale"	
"absolutive"	"case"	"oromo"	
"absolutive"	"case"	"wolaytta"	
"absolutive"	"case"	"yemsa"	
"absolutive"	"caseHead"	"burji"	
"absolutive"	"caseHead"	"gedeo"	
"absolutive"	"clauseCase"	"somali"	"standard"
"absolutive"	"type"	"burji"	
"absolutive"	"type"	"gedeo"	
"absolutiveEmphatic"	"case"	"alaaba"	
"accusative"	"case"	"akkadian"	"OB"
"accusative"	"case"	"beja"	"hadendowa"
"accusative"	"case"	"hadiyya"	
"accusative"	"case"	"hebrew"	
"accusative"	"case"	"kambaata"	
"accusative"	"case"	"sidaama"	
"accusative"	"case"	"syriac"	
"action"	"nonFiniteForm"	"khamtanga"	
"active"	"voice"	"arabic"	
"ad-Class"	"stemAltClass"	"arbore"	
"add-Class"	"stemAltClass"	"arbore"	
"adjInterr"	"conjClass"	"yaaku"	
"adjective"	"conjClass"	"yaaku"	
"adjective"	"statClass"	"elmolo"	
"adnominal"	"posClass"	"sidaama"	
"advAt1"	"clauseType"	"bilin"	
"advAt2"	"clauseType"	"bilin"	
"advCause"	"clauseType"	"bilin"	
"advCompl"	"clauseType"	"bilin"	
"advCond"	"clauseType"	"bilin"	
"advConsec"	"clauseType"	"bilin"	
"advFutCond"	"clauseType"	"bilin"	
"advPurp"	"clauseType"	"bilin"	
"advUntil"	"clauseType"	"bilin"	
"advWhen"	"clauseType"	"bilin"	
"advWhile"	"clauseType"	"bilin"	
"adverb"	"posClass"	"sidaama"	
"af"	"pdgmLexLabel"	"gawwada"	
"afar"	"lang"	"afar"	
"aff"	"polarity"	"beja"	"hadendowa"
"affirmative"	"polarity"	"afar"	
"affirmative"	"polarity"	"alaaba"	
"affirmative"	"polarity"	"arbore"	
"affirmative"	"polarity"	"awngi"	
"affirmative"	"polarity"	"bayso"	
"affirmative"	"polarity"	"beja"	"arteiga"
"affirmative"	"polarity"	"beja"	"atmaan"
"affirmative"	"polarity"	"beja"	"beniamer"
"affirmative"	"polarity"	"beja"	"bishari"
"affirmative"	"polarity"	"beja"	"hadendowa"
"affirmative"	"polarity"	"bilin"	
"affirmative"	"polarity"	"boni"	
"affirmative"	"polarity"	"boni"	"jara"
"affirmative"	"polarity"	"boni"	"kilii"
"affirmative"	"polarity"	"burji"	
"affirmative"	"polarity"	"coptic"	"sahidic"
"affirmative"	"polarity"	"dahalo"	
"affirmative"	"polarity"	"dhaasanac"	
"affirmative"	"polarity"	"elmolo"	
"affirmative"	"polarity"	"gawwada"	
"affirmative"	"polarity"	"gedeo"	
"affirmative"	"polarity"	"hadiyya"	
"affirmative"	"polarity"	"iraqw"	
"affirmative"	"polarity"	"kambaata"	
"affirmative"	"polarity"	"kemant"	
"affirmative"	"polarity"	"khamtanga"	
"affirmative"	"polarity"	"koorete"	
"affirmative"	"polarity"	"maale"	
"affirmative"	"polarity"	"oromo"	
"affirmative"	"polarity"	"rendille"	
"affirmative"	"polarity"	"saho"	
"affirmative"	"polarity"	"shinassha"	
"affirmative"	"polarity"	"sidaama"	
"affirmative"	"polarity"	"somali"	"standard"
"affirmative"	"polarity"	"tsamakko"	
"affirmative"	"polarity"	"wolaytta"	
"affirmative"	"polarity"	"yaaku"	
"affirmative"	"polarity"	"yemsa"	
"affirmative"	"proClasspolarity"	"gawwada"	
"affirmative"	"selector"	"dahalo"	
"affix"	"tokenType"	"afar"	
"affix"	"tokenType"	"beja"	"arteiga"
"affix"	"tokenType"	"boni"	"jara"
"affix"	"tokenType"	"boni"	"kilii"
"affix"	"tokenType"	"kemant"	
"agent"	"finiteForm"	"bilin"	
"agent"	"nonFiniteForm"	"khamtanga"	
"agent"	"nonFiniteForm"	"oromo"	
"agentNoun"	"finiteForm"	"kemant"	
"agentlessVerb"	"statClass"	"elmolo"	
"agreement"	"subjVerbAgr"	"arbore"	
"agreementMarker"	"proClass"	"yaaku"	
"ahad-Class"	"stemAltClass"	"arbore"	
"akkadian"	"lang"	"akkadian"	"OB"
"alaaba"	"lang"	"alaaba"	
"alk"	"rootClass"	"akkadian"	"OB"
"allative"	"selector"	"dahalo"	
"alternate"	"pluralClass"	"khamtanga"	
"amarʔar"	"langVar"	"beja"	"amarʔar"
"amarʔar"	"langVar"	"beja"	"arteiga"
"ameet"	"pdgmLexLabel"	"alaaba"	
"amma"	"selectorGroup"	"arbore"	
"anteriorPerfect"	"tam"	"alaaba"	
"anticipatory"	"tam"	"afar"	
"aor"	"tam"	"beja"	"atmaan"
"aorClass"	"tamStemClass"	"beja"	"arteiga"
"aorist"	"tam"	"beja"	"arteiga"
"aorist"	"tam"	"beja"	"atmaan"
"aorist"	"tam"	"beja"	"bishari"
"aorist"	"tam"	"coptic"	"sahidic"
"aorist"	"tam"	"shinassha"	
"aorist"	"tam"	"tsamakko"	
"aorist"	"tam"	"wolaytta"	
"aoristHabitual"	"tam"	"shinassha"	
"aoristIngressive"	"tam"	"shinassha"	
"aoristIngressive"	"tam"	"wolaytta"	
"aoristProgressive"	"tam"	"shinassha"	
"aoristProgressive"	"tam"	"wolaytta"	
"aoristPunctual"	"tam"	"shinassha"	
"apodosis"	"clauseType"	"awngi"	
"arabic"	"lang"	"arabic"	
"arabic"	"langComp"	"beja"	"beniamer"
"arbore"	"lang"	"arbore"	
"artDef"	"proClass"	"beja"	"hadendowa"
"arteiga"	"langVar"	"beja"	"amarʔar"
"arteiga"	"langVar"	"beja"	"arteiga"
"arteiga"	"langVar"	"beja"	"bishari"
"arteiga"	"langVar"	"beja"	"hadendowa"
"aspect"	"verbMorphClass"	"bilin"	
"aspect"	"verbMorphClass"	"boni"	"kilii"
"aspectSuff"	"verbMorphClass"	"boni"	"jara"
"ass"	"pdgmLexLabel"	"gawwada"	
"at_sat-Extension"	"dervStemAug"	"bayso"	
"atmaan"	"langVar"	"beja"	"atmaan"
"autobenefactivization"	"dervStemAug"	"bayso"	
"aux"	"vClass"	"shinassha"	
"aux"	"vClass"	"wolaytta"	
"auxFay"	"conjSubType"	"beja"	"beniamer"
"auxFay"	"pdgmSubType"	"beja"	"beniamer"
"auxHay"	"conjSubType"	"beja"	"beniamer"
"auxHay"	"pdgmSubType"	"beja"	"beniamer"
"auxKay"	"conjSubType"	"beja"	"beniamer"
"auxKay"	"pdgmSubType"	"beja"	"beniamer"
"auxOverview"	"verbMorphClass"	"beja"	"atmaan"
"auxPut"	"conjSubType"	"beja"	"atmaan"
"auxPut"	"verbMorphClass"	"beja"	"atmaan"
"auxTake"	"conjSubType"	"beja"	"atmaan"
"auxTake"	"verbMorphClass"	"beja"	"atmaan"
"auxiliary"	"pdgmSubType"	"beja"	"beniamer"
"awngi"	"lang"	"awngi"	
"background"	"selCat"	"iraqw"	
"background"	"selTense"	"iraqw"	
"base"	"dervStem"	"alaaba"	
"base"	"dervStem"	"arbore"	
"base"	"dervStem"	"beja"	"beniamer"
"base"	"dervStem"	"beja"	"bishari"
"base"	"dervStem"	"beja"	"hadendowa"
"base"	"dervStem"	"dhaasanac"	
"base"	"dervStem"	"oromo"	
"base"	"dervStem"	"rendille"	
"base"	"dervStem"	"yaaku"	
"base"	"imperativeClass"	"iraqw"	
"base"	"stemClass"	"beja"	"beniamer"
"baseIntns"	"stemClass"	"beja"	"beniamer"
"basicPro"	"proClass"	"maale"	
"bayso"	"lang"	"bayso"	
"become"	"conjSubType"	"beja"	"atmaan"
"become"	"deAdjClass"	"boni"	"kilii"
"become"	"verbMorphClass"	"beja"	"atmaan"
"beja"	"lang"	"beja"	"amarʔar"
"beja"	"lang"	"beja"	"arteiga"
"beja"	"lang"	"beja"	"atmaan"
"beja"	"lang"	"beja"	"beniamer"
"beja"	"lang"	"beja"	"bishari"
"beja"	"lang"	"beja"	"hadendowa"
"belowSpeaker"	"deixis"	"koorete"	
"benefactive"	"case"	"shinassha"	
"benefactive"	"dervCat"	"elmolo"	
"benefactive"	"dervStem"	"burji"	
"benefactive"	"dervStem"	"hadiyya"	
"benefactive"	"dervStem"	"kambaata"	
"benefactive"	"dervStem"	"shinassha"	
"benefactive"	"dervStem"	"yaaku"	
"benefactiveCausative"	"dervStem"	"hadiyya"	
"benefactivePassive"	"dervStem"	"hadiyya"	
"beniamer"	"langVar"	"beja"	"beniamer"
"bilin"	"lang"	"bilin"	
"bilin"	"lang"	"kemant"	
"bis"	"lexlabel"	"beja"	"hadendowa"
"bishari"	"langVar"	"beja"	"arteiga"
"bishari"	"langVar"	"beja"	"bishari"
"boni"	"lang"	"boni"	
"boni"	"lang"	"boni"	"jara"
"boni"	"lang"	"boni"	"kilii"
"bound"	"proClass"	"dahalo"	
"boundSubject"	"proClass"	"arbore"	
"burji"	"lang"	"burji"	
"c-ablaut"	"pluralClass"	"khamtanga"	
"cardinal"	"numClass"	"khamtanga"	
"cardinalNumeral"	"nounClass"	"kemant"	
"case"	"cat"	"iraqw"	
"case"	"nounMorphClass"	"khamtanga"	
"case"	"selClass"	"iraqw"	
"case-FN40"	"passiveReciprocalClass"	"sidaama"	
"case-i"	"passiveReciprocalClass"	"sidaama"	
"case-ii"	"caus1_2"	"sidaama"	
"case-iii"	"middleClass"	"sidaama"	
"case-iv"	"caus1_2"	"sidaama"	
"case-v"	"middleClass"	"sidaama"	
"case-vi"	"middleClass"	"sidaama"	
"case-vii"	"caus1_2"	"sidaama"	
"caseMarking"	"proClass"	"maale"	
"causIntrans"	"stemClass"	"beja"	"beniamer"
"causal"	"clauseType"	"maale"	
"causal"	"tam"	"khamtanga"	
"causative"	"cliticClass"	"boni"	"jara"
"causative"	"cliticClass"	"boni"	"kilii"
"causative"	"dervStem"	"gawwada"	
"causative"	"dervStem"	"iraqw"	
"causative"	"dervStem"	"koorete"	
"causative"	"dervStem"	"maale"	
"causative"	"dervStem"	"rendille"	
"causative"	"dervStem"	"shinassha"	
"causative"	"dervStem"	"wolaytta"	
"causative"	"dervStem"	"yaaku"	
"causative"	"dervStem"	"yemsa"	
"causative"	"stemClass"	"beja"	"beniamer"
"causative-middle"	"dervStem"	"alaaba"	
"causative-passive"	"dervStem"	"alaaba"	
"causative-reciprocal"	"dervStem"	"alaaba"	
"causative1"	"dervStem"	"burji"	
"causative1"	"dervStem"	"hadiyya"	
"causative1"	"dervStem"	"sidaama"	
"causative1"	"dervStem"	"tsamakko"	
"causative1Causative2"	"dervStem"	"sidaama"	
"causative2"	"dervStem"	"burji"	
"causative2"	"dervStem"	"hadiyya"	
"causative2"	"dervStem"	"kambaata"	
"causative2"	"dervStem"	"maale"	
"causative2"	"dervStem"	"sidaama"	
"causative2"	"dervStem"	"tsamakko"	
"causative3"	"dervStem"	"hadiyya"	
"causativeAllomorph"	"verbMorphClass"	"alaaba"	
"causativeBenefPass"	"dervStem"	"hadiyya"	
"causativeBenefactive"	"dervStem"	"hadiyya"	
"causativeCausative"	"dervStem"	"beja"	"bishari"
"causativeD"	"dervStem"	"alaaba"	
"causativeDenominal"	"dervStem"	"hadiyya"	
"causativeDouble1"	"dervStem"	"alaaba"	
"causativeDouble2"	"dervStem"	"alaaba"	
"causativePassive"	"dervStem"	"hadiyya"	
"causativeSimple2"	"dervStem"	"alaaba"	
"causativeSimplel1"	"dervStem"	"alaaba"	
"causativeSimplel2"	"dervStem"	"alaaba"	
"causative_causative-1"	"dervStem"	"wolaytta"	
"causative_causative-2"	"dervStem"	"wolaytta"	
"causative_iterative"	"dervStem"	"wolaytta"	
"causative_iterative_causative"	"dervStem"	"wolaytta"	
"causative_passive"	"dervStem"	"wolaytta"	
"cc2a"	"conjClass"	"iraqw"	
"cc2b"	"conjClass"	"iraqw"	
"cc3a"	"conjClass"	"iraqw"	
"cc3b"	"conjClass"	"iraqw"	
"cc3c"	"conjClass"	"iraqw"	
"cc3d"	"conjClass"	"iraqw"	
"cc3e"	"conjClass"	"iraqw"	
"circumstantial"	"tam"	"coptic"	"sahidic"
"class1"	"inflClass"	"gawwada"	
"class1a"	"inflClass"	"gawwada"	
"class1b"	"inflClass"	"gawwada"	
"class2"	"inflClass"	"gawwada"	
"clitic"	"proClass"	"arabic"	
"clitic"	"proClass"	"rendille"	
"clitic"	"verbMorphClass"	"boni"	"jara"
"clitic"	"verbMorphClass"	"boni"	"kilii"
"co-Subject"	"clauseType"	"alaaba"	
"coTemporal"	"tam"	"khamtanga"	
"collaborative"	"dervStem"	"beja"	"beniamer"
"comb-Extension"	"dervStemAug"	"bayso"	
"combination"	"dervStem"	"kambaata"	
"combo"	"dervStem"	"burji"	
"comitative"	"case"	"khamtanga"	
"comitative"	"case"	"shinassha"	
"comitative"	"case"	"tsamakko"	
"comitative"	"case"	"wolaytta"	
"comitative"	"case"	"yemsa"	
"comitative"	"cliticClass"	"boni"	"jara"
"comitative"	"cliticClass"	"boni"	"kilii"
"comitative"	"selector"	"dahalo"	
"command"	"mood"	"shinassha"	
"command"	"mood"	"wolaytta"	
"command"	"mood"	"yemsa"	
"compPastGer"	"tam"	"khamtanga"	
"compSem"	"pdgmType"	"beja"	"beniamer"
"compSubordinate"	"tam"	"kemant"	
"comparative"	"pdgmType"	"bilin"	
"comparative"	"pdgmType"	"dhaasanac"	
"comparative"	"pdgmType"	"dhaasanac"	"standard"
"comparative"	"pdgmType"	"kemant"	
