?property	?value	?lang	?langVar
"case"	"objectIndirect"	"saho"	
"case"	"objectSuff"	"bilin"	
"case"	"objectWInitial"	"yaaku"	
"case"	"oblique"	"akkadian"	"OB"
"case"	"oblique"	"arabic"	
"case"	"oblique"	"beja"	"bishari"
"case"	"oblique"	"bilin"	
"case"	"oblique-posessive"	"khamtanga"	
"case"	"possessive"	"akkadian"	"OB"
"case"	"possessive"	"alaaba"	
"case"	"possessive"	"beja"	"amarʔar"
"case"	"possessive"	"beja"	"arteiga"
"case"	"possessive"	"beja"	"bishari"
"case"	"possessive"	"beja"	"hadendowa"
"case"	"possessive"	"dhaasanac"	
"case"	"possessive"	"hadiyya"	
"case"	"possessive"	"kambaata"	
"case"	"possessive"	"khamtanga"	
"case"	"possessive"	"koorete"	
"case"	"possessive"	"maale"	
"case"	"possessive"	"oromo"	
"case"	"possessive"	"saho"	
"case"	"possessive-m"	"afar"	
"case"	"predicative"	"arbore"	
"case"	"reflexive"	"afar"	
"case"	"relative"	"khamtanga"	
"case"	"short"	"rendille"	
"case"	"similative"	"alaaba"	
"case"	"subject"	"bayso"	
"case"	"subject"	"beja"	"atmaan"
"case"	"subject"	"beja"	"beniamer"
"case"	"subject"	"dhaasanac"	
"case"	"subject"	"khamtanga"	
"case"	"subject"	"oromo"	
"case"	"subject"	"tsamakko"	
"case"	"subject"	"wolaytta"	
"case"	"subject"	"yaaku"	
"case"	"subject"	"yemsa"	
"case"	"verbal"	"dhaasanac"	
"caseHead"	"absolutive"	"burji"	
"caseHead"	"absolutive"	"gedeo"	
"caseHead"	"genitive"	"beja"	"bishari"
"caseHead"	"nominative"	"beja"	"bishari"
"caseHead"	"nominative"	"burji"	
"caseHead"	"object"	"beja"	"atmaan"
"caseHead"	"object"	"beja"	"bishari"
"caseHead"	"subject"	"beja"	"atmaan"
"caseHead"	"subject"	"beja"	"bishari"
"cat"	"case"	"iraqw"	
"categ"	"diff"	"tsamakko"	
"categ"	"interrGen"	"tsamakko"	
"categ"	"interrWh"	"tsamakko"	
"caus1_2"	"case-ii"	"sidaama"	
"caus1_2"	"case-iv"	"sidaama"	
"caus1_2"	"case-vii"	"sidaama"	
"clauseCase"	"absolutive"	"somali"	"standard"
"clauseCase"	"subject"	"somali"	"standard"
"clauseConjugation"	"conditional"	"coptic"	"sahidic"
"clauseConjugation"	"main"	"coptic"	"sahidic"
"clauseConjugation"	"relative"	"coptic"	"sahidic"
"clauseConjugation"	"result"	"coptic"	"sahidic"
"clauseConjugation"	"subordinate"	"coptic"	"sahidic"
"clauseConjugation"	"temporal"	"coptic"	"sahidic"
"clauseConjugation"	"temporalSubordinate"	"coptic"	"sahidic"
"clauseConjugation"	"terminative"	"coptic"	"sahidic"
"clauseConjugation"	"variable"	"coptic"	"sahidic"
"clauseMarker"	"noParticle"	"burji"	
"clauseMarker"	"particle"	"burji"	
"clauseType"	"advAt1"	"bilin"	
"clauseType"	"advAt2"	"bilin"	
"clauseType"	"advCause"	"bilin"	
"clauseType"	"advCompl"	"bilin"	
"clauseType"	"advCond"	"bilin"	
"clauseType"	"advConsec"	"bilin"	
"clauseType"	"advFutCond"	"bilin"	
"clauseType"	"advPurp"	"bilin"	
"clauseType"	"advUntil"	"bilin"	
"clauseType"	"advWhen"	"bilin"	
"clauseType"	"advWhile"	"bilin"	
"clauseType"	"apodosis"	"awngi"	
"clauseType"	"causal"	"maale"	
"clauseType"	"co-Subject"	"alaaba"	
"clauseType"	"compound"	"awngi"	
"clauseType"	"conditional"	"maale"	
"clauseType"	"converb"	"awngi"	
"clauseType"	"converb1"	"maale"	
"clauseType"	"converb2"	"maale"	
"clauseType"	"converb3"	"maale"	
"clauseType"	"declarative"	"maale"	
"clauseType"	"desiderative"	"awngi"	
"clauseType"	"durative"	"awngi"	
"clauseType"	"exobligative"	"awngi"	
"clauseType"	"full"	"somali"	"standard"
"clauseType"	"fullReducedVariant"	"somali"	"standard"
"clauseType"	"immediate"	"awngi"	
"clauseType"	"imperative"	"maale"	
"clauseType"	"imperativeNegative"	"sidaama"	
"clauseType"	"interrDubitative"	"maale"	
"clauseType"	"interrNonPolar"	"maale"	
"clauseType"	"interrPolar"	"maale"	
"clauseType"	"main"	"alaaba"	
"clauseType"	"main"	"arbore"	
"clauseType"	"main"	"awngi"	
"clauseType"	"main"	"beja"	"hadendowa"
"clauseType"	"main"	"bilin"	
"clauseType"	"main"	"khamtanga"	
"clauseType"	"main"	"oromo"	
"clauseType"	"main"	"rendille"	
"clauseType"	"main"	"somali"	"standard"
"clauseType"	"mainGeneral"	"sidaama"	
"clauseType"	"optative"	"maale"	
"clauseType"	"optative"	"sidaama"	
"clauseType"	"posterior"	"awngi"	
"clauseType"	"predestinative"	"awngi"	
"clauseType"	"preventive"	"maale"	
"clauseType"	"processive"	"awngi"	
"clauseType"	"protasis"	"awngi"	
"clauseType"	"purposive1"	"maale"	
"clauseType"	"purposive2"	"maale"	
"clauseType"	"reduced"	"somali"	"standard"
"clauseType"	"relObliq"	"bilin"	
"clauseType"	"relOblique"	"khamtanga"	
"clauseType"	"relSubj"	"awngi"	
"clauseType"	"relSubj"	"bilin"	
"clauseType"	"relSubj"	"khamtanga"	
"clauseType"	"relative"	"arbore"	
"clauseType"	"relative"	"beja"	"atmaan"
"clauseType"	"relative"	"coptic"	"sahidic"
"clauseType"	"simultaneous"	"maale"	
"clauseType"	"stative"	"awngi"	
"clauseType"	"subAdv"	"khamtanga"	
"clauseType"	"subjunctive"	"awngi"	
"clauseType"	"subordinate"	"alaaba"	
"clauseType"	"subordinate"	"awngi"	
"clauseType"	"subordinate"	"beja"	"hadendowa"
"clauseType"	"subordinate"	"oromo"	
"clauseType"	"subordinate"	"rendille"	
"clauseType"	"subordinate"	"sidaama"	
"clauseType"	"subordinate"	"somali"	"standard"
"clauseType"	"subordinateVariant"	"somali"	"standard"
"clauseType"	"temporal"	"awngi"	
"clauseType"	"temporal1"	"maale"	
"clauseType"	"temporal2"	"maale"	
"clauseType"	"terminative"	"awngi"	
"cliticClass"	"ablative"	"boni"	"jara"
"cliticClass"	"ablative"	"boni"	"kilii"
"cliticClass"	"causative"	"boni"	"jara"
"cliticClass"	"causative"	"boni"	"kilii"
"cliticClass"	"comitative"	"boni"	"jara"
"cliticClass"	"comitative"	"boni"	"kilii"
"cliticClass"	"focus"	"boni"	"jara"
"cliticClass"	"focus"	"boni"	"kilii"
"cliticClass"	"goal"	"boni"	"jara"
"cliticClass"	"goal"	"boni"	"kilii"
"cliticClass"	"medial"	"boni"	"jara"
"cliticClass"	"medial"	"boni"	"kilii"
"cliticClass"	"passive"	"boni"	"jara"
"cliticClass"	"passive"	"boni"	"kilii"
"cliticClass"	"reflexive"	"boni"	"jara"
"cliticClass"	"reflexive"	"boni"	"kilii"
"cliticClass"	"ventive"	"boni"	"jara"
"cliticClass"	"ventive"	"boni"	"kilii"
"cliticType"	"demonstrative"	"rendille"	
"cliticType"	"dervSuff"	"boni"	"jara"
"cliticType"	"dervSuff"	"boni"	"kilii"
"cliticType"	"indefinite"	"rendille"	
"cliticType"	"interrogative"	"rendille"	
"cliticType"	"proclitic"	"boni"	"jara"
"cliticType"	"proclitic"	"boni"	"kilii"
"cliticType"	"relative"	"rendille"	
"cohesion"	"exclusive"	"dhaasanac"	
"cohesion"	"exclusive"	"rendille"	
"cohesion"	"inclusive"	"dhaasanac"	
"cohesion"	"inclusive"	"rendille"	
"complement"	"compound"	"shinassha"	
"complement"	"compound"	"wolaytta"	
"complement"	"simple"	"shinassha"	
"complement"	"simple"	"wolaytta"	
"configuration"	"connective"	"sidaama"	
"configuration"	"infinitiveConj"	"sidaama"	
"configuration"	"infinitiveConn"	"sidaama"	
"configuration"	"subjMarkerRed"	"sidaama"	
"conjClaspdgmLexs"	"suffix"	"rendille"	
"conjClass"	"adjInterr"	"yaaku"	
"conjClass"	"adjective"	"yaaku"	
"conjClass"	"cc2a"	"iraqw"	
"conjClass"	"cc2b"	"iraqw"	
"conjClass"	"cc3a"	"iraqw"	
"conjClass"	"cc3b"	"iraqw"	
"conjClass"	"cc3c"	"iraqw"	
"conjClass"	"cc3d"	"iraqw"	
"conjClass"	"cc3e"	"iraqw"	
"conjClass"	"compoundIntransitive"	"afar"	
"conjClass"	"compoundStative"	"afar"	
"conjClass"	"compoundTransitive"	"afar"	
"conjClass"	"conj1"	"iraqw"	
"conjClass"	"conj1"	"koorete"	
"conjClass"	"conj1"	"shinassha"	
"conjClass"	"conj1"	"yemsa"	
"conjClass"	"conj2"	"iraqw"	
"conjClass"	"conj2"	"koorete"	
"conjClass"	"conj2"	"shinassha"	
"conjClass"	"conj2"	"yemsa"	
"conjClass"	"conj2a"	"iraqw"	
"conjClass"	"conj2a"	"yemsa"	
"conjClass"	"conj2b"	"iraqw"	
"conjClass"	"conj3"	"iraqw"	
"conjClass"	"conj3"	"shinassha"	
"conjClass"	"conj3"	"yemsa"	
"conjClass"	"conj3a"	"iraqw"	
"conjClass"	"conj3a"	"yemsa"	
"conjClass"	"conj3b"	"iraqw"	
"conjClass"	"conj3b"	"yemsa"	
"conjClass"	"conj3c"	"iraqw"	
"conjClass"	"conj3d"	"iraqw"	
"conjClass"	"conj3e"	"iraqw"	
"conjClass"	"conj4"	"shinassha"	
"conjClass"	"conj5"	"shinassha"	
"conjClass"	"conjA"	"tsamakko"	
"conjClass"	"conjB"	"tsamakko"	
"conjClass"	"conjugation1"	"bayso"	
"conjClass"	"conjugation1"	"bilin"	
"conjClass"	"conjugation1"	"khamtanga"	
"conjClass"	"conjugation2"	"bayso"	
"conjClass"	"conjugation2"	"bilin"	
"conjClass"	"conjugation2"	"khamtanga"	
"conjClass"	"conjugation3"	"bayso"	
"conjClass"	"conjugation3"	"bilin"	
"conjClass"	"conjugation3"	"khamtanga"	
"conjClass"	"conjugation4"	"bayso"	
"conjClass"	"conjugation4"	"khamtanga"	
"conjClass"	"conjugation5a"	"khamtanga"	
"conjClass"	"conjugation5b"	"khamtanga"	
"conjClass"	"demFar"	"yaaku"	
"conjClass"	"demNear"	"yaaku"	
"conjClass"	"demRef"	"yaaku"	
"conjClass"	"formSet1"	"yaaku"	
"conjClass"	"formSet2"	"yaaku"	
"conjClass"	"formSet3"	"yaaku"	
"conjClass"	"formSet4"	"yaaku"	
"conjClass"	"formSet5"	"yaaku"	
"conjClass"	"invariable"	"yaaku"	
"conjClass"	"irreg"	"burji"	
"conjClass"	"irreg"	"iraqw"	
"conjClass"	"irregular"	"beja"	"atmaan"
"conjClass"	"irregular"	"saho"	
"conjClass"	"p1"	"iraqw"	
"conjClass"	"p2"	"iraqw"	
"conjClass"	"possNom"	"yaaku"	
"conjClass"	"possPro"	"yaaku"	
"conjClass"	"pref-irreg"	"saho"	
"conjClass"	"prefix"	"afar"	
"conjClass"	"prefix"	"arbore"	
"conjClass"	"prefix"	"beja"	"arteiga"
"conjClass"	"prefix"	"beja"	"atmaan"
"conjClass"	"prefix"	"beja"	"beniamer"
"conjClass"	"prefix"	"beja"	"bishari"
"conjClass"	"prefix"	"beja"	"hadendowa"
"conjClass"	"prefix"	"boni"	"jara"
"conjClass"	"prefix"	"boni"	"kilii"
"conjClass"	"prefix"	"dhaasanac"	
"conjClass"	"prefix"	"elmolo"	
"conjClass"	"prefix"	"geez"	
"conjClass"	"prefix"	"rendille"	
"conjClass"	"prefix"	"saho"	
"conjClass"	"prefix"	"somali"	"standard"
"conjClass"	"prefix2"	"beja"	"bishari"
"conjClass"	"prefix3"	"beja"	"bishari"
"conjClass"	"prefix4"	"beja"	"bishari"
"conjClass"	"prefix5"	"beja"	"bishari"
"conjClass"	"prefixIrregular"	"beja"	"bishari"
"conjClass"	"prefixOther"	"beja"	"bishari"
"conjClass"	"regular"	"burji"	
"conjClass"	"relative"	"yaaku"	
"conjClass"	"stative"	"afar"	
"conjClass"	"stative"	"elmolo"	
"conjClass"	"stative"	"rendille"	
"conjClass"	"stativeIrregular"	"afar"	
"conjClass"	"suffix"	"afar"	
"conjClass"	"suffix"	"arbore"	
"conjClass"	"suffix"	"beja"	"arteiga"
"conjClass"	"suffix"	"beja"	"atmaan"
"conjClass"	"suffix"	"beja"	"beniamer"
"conjClass"	"suffix"	"beja"	"bishari"
"conjClass"	"suffix"	"beja"	"hadendowa"
"conjClass"	"suffix"	"boni"	"jara"
"conjClass"	"suffix"	"dhaasanac"	
"conjClass"	"suffix"	"elmolo"	
"conjClass"	"suffix"	"geez"	
"conjClass"	"suffix"	"rendille"	
"conjClass"	"suffix"	"saho"	
"conjClass"	"suffix"	"somali"	"standard"
"conjClass"	"suffix1"	"boni"	"jara"
"conjClass"	"suffix1"	"boni"	"kilii"
"conjClass"	"suffix2"	"boni"	
"conjClass"	"suffix2"	"boni"	"jara"
"conjClass"	"suffix2"	"boni"	"kilii"
"conjClass"	"suffix3"	"boni"	"jara"
"conjClass"	"suffix3"	"boni"	"kilii"
"conjClass"	"suffix4"	"boni"	"jara"
"conjClass"	"suffix4"	"boni"	"kilii"
"conjClass"	"suffixClass"	"boni"	"jara"
"conjClass"	"suffixClass"	"boni"	"kilii"
"conjClass"	"suffixIrregular"	"saho"	
"conjClass"	"verb"	"yaaku"	
"conjSubClass"	"C1"	"somali"	"standard"
"conjSubClass"	"C2A"	"somali"	"standard"
"conjSubClass"	"C2B"	"somali"	"standard"
"conjSubClass"	"C3A"	"somali"	"standard"
"conjSubClass"	"C3B"	"somali"	"standard"
"conjSubType"	"auxFay"	"beja"	"beniamer"
"conjSubType"	"auxHay"	"beja"	"beniamer"
"conjSubType"	"auxKay"	"beja"	"beniamer"
"conjSubType"	"auxPut"	"beja"	"atmaan"
"conjSubType"	"auxTake"	"beja"	"atmaan"
"conjSubType"	"become"	"beja"	"atmaan"
"conjSubType"	"irregular"	"rendille"	
"conjSubType"	"negCop"	"beja"	"atmaan"
"conjSubType"	"subClass1"	"somali"	"standard"
"conjSubType"	"subClass2"	"somali"	"standard"
"conjType"	"irregular"	"beja"	"arteiga"
"copForm"	"copA"	"yaaku"	
"copForm"	"copB"	"yaaku"	
"copType"	"copLoc"	"bilin"	
"copType"	"copMain"	"bilin"	
"copType"	"existence"	"oromo"	
"copType"	"occurrence"	"oromo"	
"copType"	"predication"	"oromo"	
"deAdjClass"	"become"	"boni"	"kilii"
"deAdjClass"	"make"	"boni"	"kilii"
"defClass"	"defClass1"	"beja"	"arteiga"
"defClass"	"defClass2"	"beja"	"arteiga"
"defClass"	"defClass3"	"beja"	"arteiga"
"defClass"	"definite"	"arbore"	
"defClass"	"definite"	"awngi"	
"defClass"	"definite"	"khamtanga"	
"defClass"	"indefinite"	"arbore"	
"defClass"	"indefinite"	"awngi"	
"defClass"	"indefinite"	"khamtanga"	
"defMarker"	"aClass"	"tsamakko"	
"defMarker"	"ssaClass"	"tsamakko"	
"defMarker"	"sseClass"	"tsamakko"	
"deixis"	"aboveSpeaker"	"koorete"	
"deixis"	"belowSpeaker"	"koorete"	
"deixis"	"distal"	"tsamakko"	
"deixis"	"distal2"	"tsamakko"	
"deixis"	"far"	"akkadian"	"OB"
"deixis"	"far"	"arabic"	
"deixis"	"far"	"arbore"	
"deixis"	"far"	"beja"	"arteiga"
"deixis"	"far"	"burji"	
"deixis"	"far"	"gedeo"	
"deixis"	"far"	"hadiyya"	
"deixis"	"far"	"hebrew"	
"deixis"	"far"	"iraqw"	
"deixis"	"far"	"kambaata"	
"deixis"	"far"	"khamtanga"	
"deixis"	"far"	"rendille"	
"deixis"	"far"	"syriac"	
"deixis"	"farDist"	"koorete"	
"deixis"	"farMid"	"koorete"	
"deixis"	"here"	"sidaama"	
"deixis"	"medial"	"rendille"	
"deixis"	"midway"	"iraqw"	
"deixis"	"near"	"akkadian"	"OB"
"deixis"	"near"	"arabic"	
"deixis"	"near"	"arbore"	
"deixis"	"near"	"beja"	"arteiga"
"deixis"	"near"	"burji"	
"deixis"	"near"	"gedeo"	
"deixis"	"near"	"hadiyya"	
"deixis"	"near"	"hebrew"	
"deixis"	"near"	"kambaata"	
"deixis"	"near"	"khamtanga"	
"deixis"	"near"	"rendille"	
"deixis"	"near"	"syriac"	
"deixis"	"near1"	"iraqw"	
"deixis"	"near2"	"iraqw"	
"deixis"	"nearSpeaker"	"koorete"	
"deixis"	"overThere"	"sidaama"	
"deixis"	"proximal"	"tsamakko"	
"deixis"	"proximal2"	"tsamakko"	
"deixis"	"thatArea"	"sidaama"	
"deixis"	"there"	"sidaama"	
"deixis"	"thisArea"	"sidaama"	
"dervCat"	"ablative"	"elmolo"	
"dervCat"	"benefactive"	"elmolo"	
"dervCat"	"frequentative"	"elmolo"	
"dervCat"	"instrumental"	"elmolo"	
"dervCat"	"intransitive"	"elmolo"	
"dervCat"	"reflexive"	"elmolo"	
"dervCat"	"ventive"	"elmolo"	
"dervStem"	"B"	"akkadian"	"OB"
"dervStem"	"B"	"beja"	"arteiga"
"dervStem"	"B"	"geez"	
"dervStem"	"B"	"hebrew"	
"dervStem"	"B"	"saho"	
"dervStem"	"B-Freq"	"beja"	"hadendowa"
"dervStem"	"B-Intens"	"beja"	"hadendowa"
"dervStem"	"B-Intens"	"saho"	
"dervStem"	"B-Redup"	"beja"	"hadendowa"
"dervStem"	"Bt"	"akkadian"	"OB"
"dervStem"	"Btn"	"akkadian"	"OB"
"dervStem"	"D"	"akkadian"	"OB"
"dervStem"	"D"	"hebrew"	
"dervStem"	"D-polel"	"hebrew"	
"dervStem"	"Dt"	"akkadian"	"OB"
"dervStem"	"Dtn"	"akkadian"	"OB"
"dervStem"	"Du"	"hebrew"	
"dervStem"	"M"	"arbore"	
"dervStem"	"M"	"beja"	"arteiga"
"dervStem"	"M"	"beja"	"beniamer"
"dervStem"	"M"	"beja"	"bishari"
"dervStem"	"M"	"beja"	"hadendowa"
"dervStem"	"M"	"bilin"	
"dervStem"	"M"	"kemant"	
"dervStem"	"M"	"oromo"	
"dervStem"	"M"	"saho"	
"dervStem"	"M-Freq"	"bilin"	
"dervStem"	"M1"	"beja"	"beniamer"
"dervStem"	"M2"	"beja"	"beniamer"
"dervStem"	"MS1"	"beja"	"beniamer"
"dervStem"	"MS2"	"beja"	"beniamer"
"dervStem"	"N"	"akkadian"	"OB"
"dervStem"	"N"	"hebrew"	
"dervStem"	"Ntn"	"akkadian"	"OB"
"dervStem"	"Polal"	"hebrew"	
"dervStem"	"Polel"	"hebrew"	
"dervStem"	"R"	"beja"	"arteiga"
"dervStem"	"S"	"akkadian"	"OB"
"dervStem"	"S"	"beja"	"arteiga"
"dervStem"	"S"	"beja"	"beniamer"
"dervStem"	"S"	"beja"	"bishari"
"dervStem"	"S"	"beja"	"hadendowa"
"dervStem"	"S"	"bilin"	
"dervStem"	"S"	"dhaasanac"	
"dervStem"	"S"	"geez"	
"dervStem"	"S"	"hebrew"	
"dervStem"	"S"	"kemant"	
"dervStem"	"S"	"oromo"	
"dervStem"	"S"	"rendille"	
"dervStem"	"S-Intens"	"dhaasanac"	
"dervStem"	"S-Recip"	"bilin"	
"dervStem"	"S1"	"arbore"	
"dervStem"	"S1"	"beja"	"beniamer"
"dervStem"	"S1"	"saho"	
"dervStem"	"S1-Intens"	"saho"	
"dervStem"	"S1T"	"saho"	
"dervStem"	"S2"	"arbore"	
"dervStem"	"S2"	"beja"	"arteiga"
"dervStem"	"S2"	"beja"	"beniamer"
"dervStem"	"S2"	"bilin"	
"dervStem"	"S2"	"dhaasanac"	
"dervStem"	"S2"	"saho"	
"dervStem"	"S2t"	"hebrew"	
"dervStem"	"SM"	"beja"	"arteiga"
"dervStem"	"SM"	"beja"	"beniamer"
"dervStem"	"SM"	"beja"	"bishari"
"dervStem"	"St"	"akkadian"	"OB"
"dervStem"	"St"	"geez"	
"dervStem"	"St"	"hebrew"	
"dervStem"	"Stn"	"akkadian"	"OB"
"dervStem"	"Su"	"hebrew"	
"dervStem"	"T"	"beja"	"arteiga"
"dervStem"	"T"	"dhaasanac"	
"dervStem"	"T"	"geez"	
"dervStem"	"T"	"oromo"	
"dervStem"	"T"	"rendille"	
"dervStem"	"T"	"saho"	
"dervStem"	"T-Intens"	"saho"	
"dervStem"	"T1"	"arbore"	
"dervStem"	"T2"	"arbore"	
"dervStem"	"T2"	"dhaasanac"	
"dervStem"	"T3"	"arbore"	
"dervStem"	"T4"	"arbore"	
"dervStem"	"base"	"alaaba"	
"dervStem"	"base"	"arbore"	
"dervStem"	"base"	"beja"	"beniamer"
"dervStem"	"base"	"beja"	"bishari"
"dervStem"	"base"	"beja"	"hadendowa"
"dervStem"	"base"	"dhaasanac"	
"dervStem"	"base"	"oromo"	
"dervStem"	"base"	"rendille"	
"dervStem"	"base"	"yaaku"	
"dervStem"	"benefactive"	"burji"	
"dervStem"	"benefactive"	"hadiyya"	
"dervStem"	"benefactive"	"kambaata"	
"dervStem"	"benefactive"	"shinassha"	
"dervStem"	"benefactive"	"yaaku"	
"dervStem"	"benefactiveCausative"	"hadiyya"	
"dervStem"	"benefactivePassive"	"hadiyya"	
"dervStem"	"causative"	"gawwada"	
"dervStem"	"causative"	"iraqw"	
"dervStem"	"causative"	"koorete"	
"dervStem"	"causative"	"maale"	
"dervStem"	"causative"	"rendille"	
"dervStem"	"causative"	"shinassha"	
"dervStem"	"causative"	"wolaytta"	
"dervStem"	"causative"	"yaaku"	
"dervStem"	"causative"	"yemsa"	
"dervStem"	"causative-middle"	"alaaba"	
"dervStem"	"causative-passive"	"alaaba"	
"dervStem"	"causative-reciprocal"	"alaaba"	
"dervStem"	"causative1"	"burji"	
"dervStem"	"causative1"	"hadiyya"	
"dervStem"	"causative1"	"sidaama"	
"dervStem"	"causative1"	"tsamakko"	
"dervStem"	"causative1Causative2"	"sidaama"	
"dervStem"	"causative2"	"burji"	
"dervStem"	"causative2"	"hadiyya"	
"dervStem"	"causative2"	"kambaata"	
"dervStem"	"causative2"	"maale"	
"dervStem"	"causative2"	"sidaama"	
"dervStem"	"causative2"	"tsamakko"	
"dervStem"	"causative3"	"hadiyya"	
"dervStem"	"causativeBenefPass"	"hadiyya"	
"dervStem"	"causativeBenefactive"	"hadiyya"	
